
Abu Dhabi Ship Building Company,Industrial Manufacturing,UAE,Abu Dhabi,Musafah Industrial Area,Tel: +971 2-551-0800,www.adsb.net,www.adsb.net,finance@adsb.ae,,,,
,,,,P.O.Box 8922,Fax: +971 2-551-0634,finance@adsb.ae,,,,,,
,,,,,Fax: +971 2-551-0939,,,,,,,
Abu Dhabi Shipping Agency,Transport,UAE,Abu Dhabi,P.O.Box 46103,Tel: +971 2-644-9100,www.adsa.ae,www.adsa.ae,,,,,
,,,,,Fax: +971 2-644 -7783,adsaauh@adsa.ae,,,,,,
,,,,,,adsaauh@emirates.net.ae,,,,,,
,,,,,,,,,,,,
Abu Dhabi Terminals,Transport,UAE,Abu Dhabi,Mina Street,Tel: +971 2-673-0600,,,,,,,
,,,,Mohandessein,Fax: +971 2-673-0432,,,,,,,
,,,,P.O.Box 422,,,,,,,,
Abu Dhabi Tourism Authority,Travel and Tourism,UAE,Abu Dhabi,C2 and C3 Buildings,Tel: +971 2-444-0444,www.exploreabudhabi.ae,www.exploreabudhabi.ae,info@abudhabitourism.ae,,,,
,,,,Al Salam Street,Fax: +971 2-444-0400,info@abudhabitourism.ae,,,,,,
,,,,P.O.Box 94000,,,,,,,,
Abu Dhabi Towers Property Investment Company,Real Estate,UAE,Abu Dhabi,Iskan Building,Tel: +971 2-667-5575,www.abudhabitowers.net,www.abudhabitowers.net,eatemad@abudhabitowers.net,,,,
,,,,"6th Floor, Office 403",Fax: +971 2-667-6557,eatemad@abudhabitowers.net,,,,,,
,,,,Khaldiyah Area,,,,,,,,
,,,,P.O.Box 26180,,,,,,,,
Abu Dhabi Trade Center,Real Estate,UAE,Abu Dhabi,P.O.Box 43248,Tel: +971 2-645-4001,,,,,,,
,,,,,Fax: +971 2-645-4002,,,,,,,
Abu Dhabi Transmission and Despatch Company,Power and Utilities,UAE,Abu Dhabi,P.O.Box 173,Tel: +971 2-641-4000,www.transco.ae,www.transco.ae,,,,,
,,,,,Fax: +971 2-642-6333,,,,,,,
Abu Dhabi Travel Bureau,Travel and Tourism,UAE,Abu Dhabi,Bader Tower,Tel: +971 2-633-8700,www.abudhabitravelbureau.com,www.abudhabitravelbureau.com,atb@emirates.net.ae,,,,
,,,,Corniche Road,Fax: +971 2-634-6020,atb@emirates.net.ae,,,,,,
,,,,P.O.Box 278,Fax: +971 2-665-8980,,,,,,,
Abu Dhabi University,Services,UAE,Abu Dhabi,"Near Ford Showroom, Maqtaa Bridge",Tel: +971 2-501-5555,www.adu.ac.ae,www.adu.ac.ae,info@adu.ac.ae,,,,
,,,,P.O.Box 59911,Fax: +971 2-558-9560,info@adu.ac.ae,,,,,,
,,,,,Fax: +971 2-586-0173,,,,,,,
Abu Dhabi Vegetable Oil Company,Agriculture and Food,UAE,Abu Dhabi,Mina Zayed Port Area,Tel: +971 2-673-0747,advocauh@emirates.net.ae,advocauh@emirates.net.ae,,,,,
,,,,P.O.Box 7125,Fax: +971 2-673-2410,,,,,,,
Abu Dhabi Water and Electricity Authority,Power and Utilities,UAE,Abu Dhabi,Abu Dhabi Water and Electricity Authority Building,Tel: +971 2-694-3333,www.adwea.ae,www.adwea.ae,webmaster@adwea.gov.ae,,,,
,,,,Al Najda Street,Fax: +971 2-694-3192,webmaster@adwea.gov.ae,,,,,,
,,,,P.O.Box 6120,,,,,,,,
Abu Dhabi Water and Electricity Company,Power and Utilities,UAE,Abu Dhabi,P.O.Box 51111,Tel: +971 2-694-3333,www.adwec.ae,www.adwec.ae,,,,,
,,,,,Fax: +971 2-642-5773,webmaster@adwec.ae,,,,,,
Abu Hail Shopping Centre,Real Estate,UAE,Dubai,P.O.Box 5005,Tel: +971 4-2669600,,,,,,,
,,,,,Fax: 04-2651783,,,,,,,
,,,,,Fax: 04-2695722,,,,,,,
Academy of Financial and Banking Studies,Services,UAE,Sharjah,P.O.Box 4166,Tel: +971 6-572-8880,www.eibfs.com/,www.eibfs.com/,,,,,
,,,,,Fax: +971 6-572-8080,gm-eibfs@eibfs.com,,,,,,
Accor Group,Travel and Tourism,UAE,Dubai,"2 rue de la Mare Neuve, 91 021 Evry Cedex, France",Tel: +33 1-69368080,www.accor.com,www.accor.com,,,,,
,,,,,Tel: +971 4-332-3236,www.accorhotels.com,,,,,,
,,,,"PO Box 111679, Dubai, United Arab Emirates",Fax: +33 1-69367900,,,,,,,
,,,,P.O.Box 111679,Fax: +971 4-332-3246,,,,,,,
Actco General Contracting Company,Construction,UAE,Dubai,Golf Park Offices Building,Tel: +971 4-282-0404,www.actco.co.ae,www.actco.co.ae,actco@emirates.net.ae,,,,
,,,,Garhoud Road,Fax: +971 4-286-9145,actco@emirates.net.ae,,,,,,
,,,,P.O.Box 4694,,,,,,,,
Adceco Group,Conglomerates,UAE,Abu Dhabi,Adceco Building,Tel: +971 2-673-2111,www.adcecogroup.com,www.adcecogroup.com,www.imcc.ae/imcc,adceco@adcecogroup.com,,,
,,,,Plot 194,Fax: +971 2-673-2112,www.imcc.ae/imcc,,,,,,
,,,,Port Zayed Free Zone,,adceco@adcecogroup.com,,,,,,
,,,,P.O.Box 47029,,,,,,,,
Adcom Group,Conglomerates,UAE,Abu Dhabi,P.O.Box 25298,Tel: +971 2-550-0630,adcomgrp@emirates.net.ae,adcomgrp@emirates.net.ae,,,,,
,,,,,Fax: +971 2-550-0631,,,,,,,
Addax Education Holdings,Services,UAE,Dubai,Block 19,Tel: +971 4-364-4818,www.addaxeducation.com,www.addaxeducation.com,info @addaxeducation.com,,,,
,,,,Office 314,Fax: +971 4-367-8495,info @addaxeducation.com,,,,,,
,,,,Knowledge Village,,,,,,,,
,,,,P.O.Box 502930,,,,,,,,
Admak General Contracting Company,Construction,UAE,Abu Dhabi,Khalifa Street,Tel: +971 2-554-2200,admak@emirates.net.ae,admak@emirates.net.ae,,,,,
,,,,P.O.Box 650,Tel: +971 2-626-4626,,,,,,,
,,,,,Fax: +971 2-554-3134,,,,,,,
,,,,,Fax: +971 2-626-4636,,,,,,,
Adnoc Distribution,Oil and Gas,UAE,Abu Dhabi,Al Salam Street,Tel: +971 2-677-1300,www.adnoc-dist.ae,www.adnoc-dist.ae,Information@adnoc-dist.ae,,,,
,,,,P.O.Box 4188,Fax: +971 2-672-2244,Information@adnoc-dist.ae,,,,,,
,,,,,Fax: +971 2-672-2322,,,,,,,
Advanced Business Systems,Telecoms and IT,UAE,Dubai,P.O.Box 53499,Tel: +971 4-295-1444,www.abs.ae,www.abs.ae,,,,,
,,,,,Fax: +971 4-295-1138,solutionas@absme.com,,,,,,
Advertising and Marketing Consultants,Media,UAE,Dubai,Alphamed Building,Tel: +971 4-269-4773,www.amcco.tv,www.amcco.tv,amc@amcdubai.ae,,,,
,,,,1st Floor,Fax: +971 4-269-5965,amc@amcdubai.ae,,,,,,
,,,,Abou Hael Street,,,,,,,,
,,,,Deira,,,,,,,,
,,,,P.O.Box 50324,,,,,,,,
Adyard Abu Dhabi,Oil and Gas,UAE,Abu Dhabi,Mussafah Building,Tel: +971 2-554-7722,adyard@adyarduae.com,adyard@adyarduae.com,,,,,
,,,,P.O.Box 7604,Fax: +971 2-554-6767,,,,,,,
,,,,,Fax: +971 2-555-4453,,,,,,,
Aerogulf Services Company,Transport,UAE,Dubai,Dubai International Airport,Tel: +971 4-220-0331,www.aerogulfservices.com,www.aerogulfservices.com,aerogulf@emirates.net.ae,,,,
,,,,P.O.Box 10566,Fax: +971 4-220-0828,aerogulf@emirates.net.ae,,,,,,
,,,,,,ops@aerogulf.ae,,,,,,
Aerovista Gulf Express,Transport,UAE,Sharjah,Office B-O,Tel: +971 6-557-0367,www.aerovista.net,www.aerovista.net,dxb@aerovista.ae,shj@aerovista.ae,,,
,,,,Sharjah Airport International Free Zone,Fax: +971 6-557-0368,dxb@aerovista.ae,,,,,,
,,,,P.O.Box 7845,,shj@aerovista.ae,,,,,,
African and Eastern (Near East),Agriculture and Food,UAE,Dubai,Enoc Building No. 2,Tel: +971 4-336-6389,www.aneme.ae,www.aneme.ae,,,,,
,,,,4th Floor,Tel: +971 4-409-0500,,,,,,,
,,,,Sheikh Rashed Road,Fax: +971 4-336-6905,,,,,,,
,,,,Karama Area,Fax: +971 4-337-0399,,,,,,,
,,,,P.O.Box 32321,,,,,,,,
Aggreko Middle East,Services,UAE,Jebel Ali,Dubai,Tel: +971 4-883-4059,www.aggreko.com,www.aggreko.com,customer.service@aggreko.ae,,,,
,,,,P.O.Box 17576,Fax: +971 4-883-4145,customer.service@aggreko.ae,,,,,,
Agricultural Engineering Company,Industrial Manufacturing,UAE,Al Ain,P.O.Box 16015,Tel: +971 3-7661183,faroqsnd@emirates.net.ae,faroqsnd@emirates.net.ae,,,,,
,,,,,Fax: 03-7666428,,,,,,,
Ahli Steel Company,Mining and Metals,UAE,Dubai,Business Avenue Building,Tel: +971 4-285-2288,,,,,,,
,,,,Room 818,Tel: +971 4-295-5440,,,,,,,
,,,,P.O.Box 2302,Fax: +971 4-285-0295,,,,,,,
,,,,,Fax: +971 4-295-5220,,,,,,,
Ahmad Bahman,Conglomerates,UAE,Dubai,P.O.Box 1145,Tel: +971 4-271-2210,blankets@emirates.net.ae,blankets@emirates.net.ae,,,,,
,,,,,Tel: +971 4-272-3682,,,,,,,
,,,,,Fax: +971 4-271-7311,,,,,,,
,,,,,Fax: +971 4-272-3789,,,,,,,
Ahmad Ramadhan Juma Establishment,Consumer Goods,UAE,Dubai,P.O.Box 2574,Tel: +971 4-338-9922,www.arjgroup.com,www.arjgroup.com,,,,,
,,,,,Fax: +971 4-338-9933,info@arjgroup.com,,,,,,
Ahmad Ramadhan Juma Group,Conglomerates,UAE,Dubai,P.O.Box 2574,Tel: +971 4-338-9922,www.arjgroup.com,www.arjgroup.com,,,,,
,,,,,Fax: +971 4-338-9933,info@arjgroup.com,,,,,,
Ahmed Seddiqi and Sons,Consumer Goods,UAE,Jebel Ali,Jebel Ali Free Zone,Tel: +971 4-887-1234,www.ahmedsaddiqi.ae,www.ahmedsaddiqi.ae,contact@ahmedseddiqi.com,,,,
,,,,P.O.Box 2123,Fax: +971 4-222-7609,contact@ahmedseddiqi.com,,,,,,
,,,,,Fax: +971 4-353-4386,,,,,,,
Aikah Establishment for General Trading,Industrial Manufacturing,UAE,Dubai,P.O.Box 5804,Tel: +971 4-347-8005,www.aikah.com,www.aikah.com,,,,,
,,,,,Fax: +971 4-347-8006,aikah@emirates.net.ae,,,,,,
Air Arabia,Transport,UAE,Sharjah,Cargo Terminal,Tel: +971 6-508-8888,www.airarabia.com,www.airarabia.com,contactus@airarabia.com,sales@airarabia.com,,,
,,,,Sharjah International Airport,Tel: +971 6-558-0000,contactus@airarabia.com,,,,,,
,,,,P.O.Box 132,Fax: +971 6-558-0008,sales@airarabia.com,,,,,,
Air Gulf Falcon,Transport,UAE,Sharjah,Sharjah International Airport Free Zone,Fax: +971 6-5570516,admin@air-gulffalcon.com,admin@air-gulffalcon.com,,,,,
,,,,P.O.Box 8153,,,,,,,,
Airblast Middle East,Industrial Manufacturing,UAE,Dubai,P.O.Box 7158,Tel: +971 4-2824200,airebvkk@emirates.net.ae,airebvkk@emirates.net.ae,,,,,
,,,,,Tel: +971 4-2824400,,,,,,,
,,,,,Fax: 04-2824264,,,,,,,
Airbus Middle East,Industrial Manufacturing,UAE,Dubai,Mezzanine Floor,Tel: +971 4-299-6761,,,,,,,
,,,,"East Wing 2,",Fax: +971 4-299-6762,,,,,,,
,,,,Dubai Airport Free Zone,,,,,,,,
,,,,P.O.Box 54341,,,,,,,,
Ajmal Perfumes,Consumer Goods,UAE,Dubai,Hamarain Centre,Tel: +971 4-269-0102,www.ajmalperfumes.com,www.ajmalperfumes.com,info@ajmalperfume.com,,,,
,,,,2nd Floor,Fax: +971 4-262-9747,info@ajmalperfume.com,,,,,,
,,,,P.O.Box 8809,,,,,,,,
Ajman Beach Hotel,Travel and Tourism,UAE,Ajman,P.O.Box 874,Tel: +971 6-742-3333,abhotel@emirates.net.ae,abhotel@emirates.net.ae,,,,,
,,,,,Fax: +971 6-742-3363,,,,,,,
Ajman Cement Company,Construction,UAE,Ajman,P.O.Box 940,Tel: +971 6-744-4424,ajcement@emirates.net.ae,ajcement@emirates.net.ae,,,,,
,,,,,Fax: +971 6-744-4425,,,,,,,
Ajman Chamber of Commerce and Industry,Services,UAE,Ajman,P.O.Box 662,Tel: +971 6-7422177,www.ajcci.co.ae/,www.ajcci.co.ae/,,,,,
,,,,,Fax: +971 6-7427591,ajmchmbr@emirates.net.ae,,,,,,
Ajman Free Zone,Real Estate,UAE,Ajman,"Ajman Free Trade Zone, Area 1",Tel: +971 6-742-5444,www.ajmanfreezone.gov.ae,www.ajmanfreezone.gov.ae,info@ajmanfreezone.gov.ae,,,,
,,,,Ground Floor,Fax: +971 6-742-9222,info@ajmanfreezone.gov.ae,,,,,,
,,,,Sheikh Rashid Bin Al Maktoum Street,,,,,,,,
,,,,P.O.Box 932,,,,,,,,
Ajman Municipality and Planning Department,Government,UAE,Ajman,Ajman Municipality Building,Tel: +971 6-742-2331,www.am.gov.ae,www.am.gov.ae,,,,,
,,,,,Fax: +971 6-742-2230,,,,,,,
Ajman Sewerage (Private) Company,Power and Utilities,UAE,Ajman,P.O.Box 4686,Tel: +971 6-714-8888,,,,,,,
,,,,,Tel: +971 6-742-9910,,,,,,,
,,,,,Fax: +971 6-742-9951,,,,,,,
Ajman University of Science and Technology,Services,UAE,Ajman,Al Jurf,Tel: +971 6-746-6666,www.ajman.ac.ae,www.ajman.ac.ae,info@ajman.ac.ae,,,,
,,,,P.O.Box 346,Tel: +971 6-748-2222,info@ajman.ac.ae,,,,,,
,,,,,Fax: +971 6-746-8888,,,,,,,
Al Aan TV,Media,UAE,Dubai,Al Aan Television Building,Tel: +971 4-369-2087,www.alaan.tv,www.alaan.tv,info@alaan.tv,,,,
,,,,Dubai Media City,Fax: +971 4-391-5349,info@alaan.tv,,,,,,
,,,,P.O.Box 500765,,,,,,,,
Al Abbas Group,Conglomerates,UAE,Dubai,Al Abbas Building 2,Tel: +971 4-352-1000,www.alabbas.com,www.alabbas.com,group@alabbas.com,,,,
,,,,7th Floor,Fax: +971 4-352-1200,group@alabbas.com,,,,,,
,,,,Khalid Bin Walid Street,,,,,,,,
,,,,P.O.Box 327,,,,,,,,
Al Abbas Technical Supplies and Services,Telecoms and IT,UAE,Dubai,P.O.Box 10172,Tel: +971 4-285-8555,www.alabbas.com,www.alabbas.com,,,,,
,,,,,Tel: +971 4-285-8675,atssdxb@emirates.net.ae,,,,,,
,,,,,Fax: +971 4-285-2379,,,,,,,
Al Abbas Trading Company,Telecoms and IT,UAE,Dubai,Al Abbas Building,Tel: +971 4-352-0888,atcodb@emirates.net.ae,atcodb@emirates.net.ae,voseban@alabbas.com,,,,
,,,,Khalid Bin Walid Street,Fax: +971 4-359-4141,voseban@alabbas.com,,,,,,
,,,,Bur Dubai,,,,,,,,
,,,,P.O.Box 327,,,,,,,,
Al Accad General Trading Company,Conglomerates,UAE,Dubai,Al Khabeesi Building,Tel: +971 4-222-0111,www.alaccad.com,www.alaccad.com,alaccadh@emirates.net.ae,,,,
,,,,Al Ittihad Road,Tel: +971 4-268-6999,alaccadh@emirates.net.ae,,,,,,
,,,,P.O.Box 4194,Fax: +971 4-269-0731,,,,,,,
Al Ahli Electrical Trading,Industrial Manufacturing,UAE,Ajman,P.O.Box 2335,Tel: +971 6-7455722,alahli@emirates.net.ae,alahli@emirates.net.ae,,,,,
,,,,,Tel: +971 6-7472274,,,,,,,
,,,,,Fax: 06-7423804,,,,,,,
,,,,,Fax: 06-7472551,,,,,,,
Al Ahli General Trading Company,Agriculture and Food,UAE,Fujairah,Nasser Khammas Building,Tel: +971 9-222-6663,agtcfuj@emirates.net.ae,agtcfuj@emirates.net.ae,,,,,
,,,,Mezzanine Floor,Fax: +971 9-222-6950,,,,,,,
,,,,Sheikh Zayed Road,,,,,,,,
Al Ahli Plastic Industries,Basic Materials,UAE,Fujairah,Street Number 4,Tel: +971 9-222-3972,www.alahliplastics.com,www.alahliplastics.com,alahliplastics@alahliplastics.com,,,,
,,,,Industrial Area,Fax: +971 9-222-3973,alahliplastics@alahliplastics.com,,,,,,
,,,,P.O.Box 245,,,,,,,,
Al Ahlia General Trading Company,Agriculture and Food,UAE,Abu Dhabi,Arabian Gulf Street,Tel: +971 2-681-1600,agtc2003@emirates.net.ae,agtc2003@emirates.net.ae,aoadsha@emirates.net.ae,,,,
,,,,P.O.Box 4033,Tel: +971 2-681-3335,aoadsha@emirates.net.ae,,,,,,
,,,,,Fax: +971 2-681-1837,,,,,,,
,,,,,Fax: +971 2-681-3316,,,,,,,
Al Ahlia Oilfields Development Company - UAE,Oil and Gas,UAE,Abu Dhabi,Sheikh Saif Building,Tel: +971 2-681-3309,aedco@emirates.net.ae,aedco@emirates.net.ae,,,,,
,,,,1st Floor,Tel: +971 2-681-3335,,,,,,,
,,,,Khaldiya Street,Fax: +971 2-681-3354,,,,,,,
,,,,P.O.Box 4033,,,,,,,,
Al Ahmadiah Contracting and Trading,Construction,UAE,Dubai,P.O.Box 2596,Tel: +971 4-398-1999,www.alahmadiah.ae,www.alahmadiah.ae,,,,,
,,,,,Fax: +971 4-398-3327,ahmadiah@emirates.net.ae,,,,,,
Al Ain Ahlia Insurance Company,Financial Services,UAE,,P.O.Box 3077,Tel: +971 2-445-9900,www.alaininsurance.com,www.alaininsurance.com,,,,,
,,,,,Fax: +971 2-445-6685,alainins@emirates.net.ae,,,,,,
Al Ain Building and Construction Company,Construction,UAE,Abu Dhabi,Hamdan Street,Tel: +971 2-674-2777,,,,,,,
,,,,P.O.Box 3784,Fax: +971 2-672-3205,,,,,,,
Al Ain Dairy Farms,Agriculture and Food,UAE,Al Ain,P.O.Box 15571,Tel: +971 3-783-2111,www.alaindairyuae.com,www.alaindairyuae.com,,,,,
,,,,,Fax: +971 3-783-2525,dairyfrm@emirates.net.ae,,,,,,
Al Ain Distribution Company,Power and Utilities,UAE,Al Ain,Al Jimi,Tel: +971 3-763-6000,www.aadc.ae,www.aadc.ae,aadc@aadc.cc,,,,
,,,,P.O.Box 1065,Fax: +971 3-763-2025,aadc@aadc.cc,,,,,,
